Sale_ID,Month,Country_Code,Model,Segment,Sales_Units,Listed_Price_INR,Rating_Out_of_5,Discount_Amount_INR,Final_Price_INR
PK008,Jan_2026,PK,Hondu Shiny 125,Commuter Bike,8045,137880.0,4.0,10616.76,127263.24
PK009,Jan_2026,PK,Hondu Unicod 160,Commuter Bike,3061,187500.0,4.3,21187.5,166312.5
PK010,Jan_2026,PK,Hondu Highness 350,Premium Bike,606,332700.0,4.4,39591.3,293108.7
PK011,Feb_2026,PK,Hondu Activaa 125,Scooter,15105,141510.0,4.4,8490.6,133019.4
PK012,Feb_2026,PK,Hondu Diyo 110,Scooter,1932,129000.0,3.8,15609.0,113391.0
PK013,Feb_2026,PK,Hondu Shiny 125,Commuter Bike,11745,138210.0,4.3,11886.06,126323.94
PK014,Feb_2026,PK,Hondu Unicod 160,Commuter Bike,3420,185910.0,4.5,21565.56,164344.44
PK015,Feb_2026,PK,Hondu Highness 350,Premium Bike,275,340590.0,4.3,23160.12,317429.88
PK016,Mar_2026,PK,Hondu Activaa 125,Scooter,14355,146460.0,4.2,10984.5,135475.5
PK017,Mar_2026,PK,Hondu Diyo 110,Scooter,1665,125100.0,4.2,8006.4,117093.6
PK018,Mar_2026,PK,Hondu Shiny 125,Commuter Bike,7737,131490.0,4.4,16304.76,115185.24
PK019,Mar_2026,PK,Hondu Unicod 160,Commuter Bike,2013,191220.0,4.1,11090.76,180129.24
PK020,Mar_2026,PK,Hondu Highness 350,Premium Bike,601,359910.0,4.5,23394.15,336515.85
PK021,Apr_2026,PK,Hondu Activaa 125,Scooter,20194,139230.0,4.5,15593.76,123636.24
PK022,Apr_2026,PK,Hondu Diyo 110,Scooter,1401,135360.0,4.3,14754.24,120605.76
PK023,Apr_2026,PK,Hondu Shiny 125,Commuter Bike,15669,139140.0,4.1,14192.28,124947.72
PK024,Apr_2026,PK,Hondu Unicod 160,Commuter Bike,2688,174750.0,4.2,20795.25,153954.75
PK025,Apr_2026,PK,Hondu Highness 350,Premium Bike,284,349740.0,4.3,21683.88,328056.12
PK026,May_2026,PK,Hondu Activaa 125,Scooter,18938,137370.0,4.2,11813.82,125556.18
PK027,May_2026,PK,Hondu Diyo 110,Scooter,1711,131580.0,3.9,12368.52,119211.48
PK028,May_2026,PK,Hondu Shiny 125,Commuter Bike,7274,138030.0,4.0,9662.1,128367.9
PK029,May_2026,PK,Hondu Unicod 160,Commuter Bike,3268,203700.0,4.3,11610.9,192089.1
PK030,May_2026,PK,Hondu Highness 350,Premium Bike,465,366360.0,4.6,35170.56,331189.44
BD001,Dec_2025,BD,Hondu Activaa 125,Scooter,10484,106680.0,4.4,5740.0,144200.0
BD002,Dec_2025,BD,Hondu Diyo 110,Scooter,1369,105700.0,4.1,3080.0,146600.0
BD003,Dec_2025,BD,Hondu Shiny 125,Commuter Bike,5770,101920.0,4.0,5740.0,137400.0
BD004,Dec_2025,BD,Hondu Unicod 160,Commuter Bike,1522,141680.0,4.2,4130.0,196500.0
BD005,Dec_2025,BD,Hondu Highness 350,Premium Bike,181,274820.0,4.3,15399.999999999998,370600.0
BD006,Jan_2026,BD,Hondu Activaa 125,Scooter,13486,106120.0,4.1,5110.0,144300.0
BD007,Jan_2026,BD,Hondu Diyo 110,Scooter,1547,101990.0,4.2,5390.0,138000.0
BD008,Jan_2026,BD,Hondu Shiny 125,Commuter Bike,9686,105910.0,4.4,8400.0,139300.0
BD009,Jan_2026,BD,Hondu Unicod 160,Commuter Bike,2540,160090.0,4.3,7140.0,218500.0
BD010,Jan_2026,BD,Hondu Highness 350,Premium Bike,516,262920.0,4.5,18340.0,349400.0
BD011,Feb_2026,BD,Hondu Activaa 125,Scooter,12716,115919.99999999999,4.2,7000.0,155600.0
BD012,Feb_2026,BD,Hondu Diyo 110,Scooter,1203,96880.0,4.0,4550.0,131900.0
BD013,Feb_2026,BD,Hondu Shiny 125,Commuter Bike,8144,99960.0,4.4,5670.0,134700.0
BD014,Feb_2026,BD,Hondu Unicod 160,Commuter Bike,2137,137340.0,4.2,6160.0,187400.0
BD015,Feb_2026,BD,Hondu Highness 350,Premium Bike,297,266490.0,4.4,13930.0,360800.0
BD016,Mar_2026,BD,Hondu Activaa 125,Scooter,19413,114939.99999999999,4.2,2870.0,160100.0
BD017,Mar_2026,BD,Hondu Diyo 110,Scooter,2306,99750.0,3.8,4270.0,136400.0
BD018,Mar_2026,BD,Hondu Shiny 125,Commuter Bike,5468,103670.0,4.3,7349.999999999999,137600.0
BD019,Mar_2026,BD,Hondu Unicod 160,Commuter Bike,1847,153510.0,4.1,4130.0,213400.0
BD020,Mar_2026,BD,Hondu Highness 350,Premium Bike,443,276080.0,4.3,9100.0,381400.0
BD021,Apr_2026,BD,Hondu Activaa 125,Scooter,9427,108920.0,4.4,6440.0,146400.0
BD022,Apr_2026,BD,Hondu Diyo 110,Scooter,1298,101010.0,4.0,6090.0,135600.0
BD023,Apr_2026,BD,Hondu Shiny 125,Commuter Bike,8169,112980.0,4.2,7489.999999999999,150700.0
BD024,Apr_2026,BD,Hondu Unicod 160,Commuter Bike,2083,152040.0,4.1,4340.0,211000.0
BD025,Apr_2026,BD,Hondu Highness 350,Premium Bike,314,263060.0,4.6,17010.0,351500.0
BD026,May_2026,BD,Hondu Activaa 125,Scooter,8993,111790.0,4.5,6230.0,150800.0
BD027,May_2026,BD,Hondu Diyo 110,Scooter,882,110600.0,4.1,3919.9999999999995,152400.0
BD028,May_2026,BD,Hondu Shiny 125,Commuter Bike,8132,112980.0,4.2,4200.0,155400.0
BD029,May_2026,BD,Hondu Unicod 160,Commuter Bike,1948,163870.0,4.0,3570.0,229000.0
BD030,May_2026,BD,Hondu Highness 350,Premium Bike,384,262920.0,4.2,11130.0,359700.0
